Date,TrafficVolume,AverageSpeed,AccidentsInsideCity,AccidentsOutsideCity,WeatherSeverity,RoadWorkLevel,CongestionIndex
01/01/2024,12467,57.1,1,1,1,2,55.9
02/01/2024,8735,64.3,4,2,0,2,50.7
03/01/2024,10647,64.6,3,2,1,1,55.8
04/01/2024,12243,51.8,2,2,0,1,69.1
05/01/2024,7862,76.9,2,4,1,1,47.3
06/01/2024,7369,65.5,5,3,0,2,51.9
07/01/2024,10384,66.9,3,1,1,1,52.1
08/01/2024,8481,67.9,3,2,1,2,56.0
09/01/2024,9595,63.0,3,3,0,0,44.2
10/01/2024,9707,60.2,4,3,0,1,47.7
11/01/2024,10503,50.9,4,3,0,2,69.7
12/01/2024,6459,73.6,1,1,0,0,45.4
13/01/2024,7945,61.3,0,5,0,1,52.4
14/01/2024,9692,59.3,7,2,1,2,59.2
15/01/2024,12388,55.8,5,2,0,2,70.8
16/01/2024,11607,55.5,7,3,0,2,71.1
17/01/2024,9191,58.6,3,3,1,1,67.5
18/01/2024,9727,49.9,5,4,0,1,66.1
19/01/2024,7634,47.9,3,2,0,0,54.7
20/01/2024,5873,72.1,2,1,0,1,34.1
21/01/2024,10837,53.8,2,2,0,1,69.1
22/01/2024,11667,46.2,2,1,0,1,69.1
23/01/2024,9772,56.9,3,2,1,2,51.4
24/01/2024,9914,54.4,4,1,0,1,59.2
25/01/2024,10103,60.5,0,3,0,1,55.2
26/01/2024,6574,60.6,3,1,0,1,40.5
27/01/2024,6217,63.7,2,1,0,2,62.5
28/01/2024,10583,56.2,4,3,1,0,40.1
29/01/2024,11548,59.9,4,2,0,3,65.4
30/01/2024,9967,62.0,4,4,0,1,61.7
31/01/2024,9981,65.6,2,2,0,0,50.1
01/02/2024,10637,65.3,4,0,0,2,65.0
02/02/2024,7145,75.4,4,2,0,2,41.4
03/02/2024,5533,67.3,2,3,0,0,25.2
04/02/2024,12204,58.8,5,4,1,0,47.5
05/02/2024,10772,53.0,5,3,2,0,63.1
06/02/2024,11465,54.7,2,3,1,2,66.2
07/02/2024,12222,57.0,6,2,0,1,48.9
08/02/2024,8191,65.4,2,0,1,0,42.3
09/02/2024,8738,59.8,6,6,0,2,52.9
10/02/2024,7477,64.3,4,2,1,1,40.1
11/02/2024,11196,64.4,2,0,0,1,63.9
12/02/2024,10535,51.7,3,2,2,1,64.0
13/02/2024,8945,62.3,2,2,2,2,68.6
14/02/2024,7626,67.0,4,3,0,1,66.3
15/02/2024,12291,45.0,3,5,0,2,68.7
16/02/2024,5384,70.3,0,3,0,2,52.0
17/02/2024,7674,61.8,4,2,0,1,45.0
18/02/2024,9003,65.7,4,0,0,1,47.8
19/02/2024,11035,60.1,5,0,0,1,49.0
20/02/2024,10686,59.4,5,4,0,1,63.4
21/02/2024,9263,57.6,5,2,1,1,65.9
